nrw-regional,RE 1,national-express,re-1,#ff2d16,#ffffff,,rectangle-rounded-corner,,10913,National Express
nrw-regional,RE 2,db-regio-ag-nrw,re-2,#00b8f1,#ffffff,,rectangle-rounded-corner,,10436,DB Regio AG NRW
nrw-regional,RE 3,eurobahn,re-3,#e46e25,#ffffff,,rectangle-rounded-corner,,11049,Eurobahn
nrw-regional,RE 4,national-express,re-4,#e88f24,#ffffff,,rectangle-rounded-corner,Q872372,10913,National Express
nrw-regional,RE 5,national-express,re-5,#0182ba,#ffffff,,rectangle-rounded-corner,,10913,National Express
nrw-regional,RE 6,national-express,re-6,#9e2a96,#ffffff,,rectangle-rounded-corner,,10913,National Express
nrw-regional,RE 7,national-express,re-7,#052e69,#ffffff,,rectangle-rounded-corner,,10913,National Express
nrw-regional,RE 8,db-regio-ag-nrw,re-8,#006bbb,#ffffff,,rectangle-rounded-corner,,10436,DB Regio AG NRW
nrw-regional,RE 9,db-regio-ag-nrw,re-9,#401446,#ffffff,,rectangle-rounded-corner,,10436,DB Regio AG NRW
nrw-regional,RE 10,rheinruhrbahn-transdev,rrb-re10,#e66caf,#ffffff,,rectangle-rounded-corner,,14173,RheinRuhrBahn
nrw-regional,RE 11,national-express,re-11,#5accc2,#ffffff,,rectangle-rounded-corner,,10913,National Express
nrw-regional,RE 12,db-regio-ag-nrw,re-12,#ad294c,#ffffff,,rectangle-rounded-corner,,10436,DB Regio AG NRW
nrw-regional,RE 13,eurobahn,re-13,#7f5c1e,#ffffff,,rectangle-rounded-corner,,11049,Eurobahn
nrw-regional,RE 14,rheinruhrbahn-transdev,rrb-re14,#003328,#ffffff,,rectangle-rounded-corner,,14173,RheinRuhrBahn
nrw-regional,RE 16,vias-rail-gmbh,via-re16,#0e5778,#ffffff,,rectangle-rounded-corner,,10933,VIAS Rail GmbH
nrw-regional,RE 17,db-regio-ag-nrw,re-17,#489b40,#ffffff,,rectangle-rounded-corner,,10436,DB Regio AG NRW
nrw-regional,RE 18,db-arriva,re-18,#10b3b4,#ffffff,,rectangle-rounded-corner,,DB Regio AG NRW,
nrw-regional,RE 19,vias-rail-gmbh,via-re19,#2f652b,#ffffff,,rectangle-rounded-corner,,10933,VIAS Rail GmbH
nrw-regional,RB 20,db-regio-ag-nrw,rb-20,#7a7c80,#ffffff,,rectangle-rounded-corner,,10436,DB Regio AG NRW
nrw-regional,RB 21,rurtalbahn,rtb-rb21,#7a7c80,#ffffff,,rectangle-rounded-corner,,10858,Rurtalbahn
nrw-regional,RE 22,db-regio-ag-nrw,re-22,#ffad3e,#ffffff,,rectangle-rounded-corner,,10436,DB Regio AG NRW
nrw-regional,RB 24,db-regio-ag-nrw,rb-24,#7a7c80,#ffffff,,rectangle-rounded-corner,,10436,DB Regio AG NRW
nrw-regional,RB 25,db-regio-ag-nrw,rb-25,#7a7c80,#ffffff,,rectangle-rounded-corner,,10436,DB Regio AG NRW
nrw-regional,RB 26,mittelrheinbahn-trans-regio,rb-26,#7a7c80,#ffffff,,rectangle-rounded-corner,,10946,MittelrheinBahn (Trans Regio)
nrw-regional,RB 27,db-regio-ag-nrw,rb-27,#7a7c80,#ffffff,,rectangle-rounded-corner,,10436,DB Regio AG NRW
nrw-regional,RB 28,rurtalbahn,rtb-rb28,#7a7c80,#ffffff,,rectangle-rounded-corner,,10858,Rurtalbahn
nrw-regional,RB 30,db-regio-ag-nrw,rb-30,#7a7c80,#ffffff,,rectangle-rounded-corner,,10436,DB Regio AG NRW
nrw-regional,RB 31,rheinruhrbahn-transdev,rrb-rb31,#7a7c80,#ffffff,,rectangle-rounded-corner,,14173,RheinRuhrBahn
nrw-regional,RB 32,db-regio-ag-nrw,rb-32,#7a7c80,#ffffff,,rectangle-rounded-corner,,10436,DB Regio AG NRW
nrw-regional,RB 33,db-regio-ag-nrw,rb-33,#7a7c80,#ffffff,,rectangle-rounded-corner,,10436,DB Regio AG NRW
